Video Length,Shares,Comments,Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Total Engagement,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
14,320,138,2500000,62,2019,6,5,3,15458,0.0061832,0,0,0,1,0
15,289,933,2500000,62,2015,12,17,4,103522,0.0414088,0,0,0,1,0
0,348,2190,2500000,62,2015,12,5,6,294238,0.1176952,1,0,0,0,1
6,731,649,2500000,62,2015,12,1,2,81180,0.032472,1,1,0,0,0
18,2441,7492,5900000,51,2020,9,27,7,867533,0.1470394915254237,0,0,0,1,0
11,1330,12200,5900000,51,2020,9,23,3,584930,0.0991406779661017,0,0,0,0,1
5,2407,10500,5900000,51,2020,8,23,7,703907,0.1193062711864406,0,0,0,0,1
10,8259,25100,5900000,51,2020,8,23,7,1833359,0.310738813559322,0,0,0,1,0
8,847,7147,5900000,51,2020,8,18,2,637194,0.1079989830508474,1,0,0,0,1
8,6610,266800,5900000,51,2020,8,18,2,1573410,0.2666796610169492,0,0,0,1,0
12,3104,11100,5900000,51,2020,8,18,2,1814204,0.3074922033898305,1,0,0,1,0
8,1805,20100,5900000,51,2020,6,17,3,1121905,0.1901533898305084,1,0,0,1,0
14,6712,20800,5900000,51,2020,5,20,3,1227512,0.2080528813559322,0,0,1,0,0
9,80700,55700,5900000,51,2020,5,19,2,4236400,0.7180338983050848,0,0,0,1,0
18,6116,9330,5900000,51,2020,5,16,6,1815446,0.3077027118644068,0,0,1,0,0
10,19800,87600,5900000,51,2020,5,16,6,2307400,0.3910847457627118,0,0,0,0,1
5,3186,12300,5900000,51,2020,5,16,6,993886,0.1684552542372881,0,0,0,1,0
51,11300,10500,5900000,51,2020,5,7,4,1121800,0.190135593220339,0,0,0,1,0
6,1024,9005,5900000,51,2020,4,30,4,781129,0.1323947457627118,0,0,0,1,0
18,2183,8530,5900000,51,2020,3,30,1,1410713,0.2391038983050847,1,0,1,0,0
13,8317,14000,5900000,51,2020,3,30,1,1522317,0.2580198305084746,0,0,0,1,0
8,7814,23000,5900000,51,2020,3,26,4,1330814,0.2255616949152542,0,0,1,0,0
23,42100,21400,5900000,51,2020,3,24,2,1863500,0.3158474576271186,0,0,1,0,0
26,6287,5855,5900000,51,2020,3,24,2,861842,0.1460749152542373,0,0,0,1,0
14,1992,9006,5900000,51,2020,3,23,1,618998,0.1049149152542372,1,0,0,1,0
10,4077,8914,5900000,51,2020,2,27,4,1112991,0.1886425423728813,0,0,0,1,0
11,4888,13800,5900000,51,2020,2,18,2,1018688,0.1726589830508474,0,0,1,0,0
13,2376,4424,5900000,51,2020,2,13,4,785400,0.1331186440677966,0,0,1,0,0
15,4171,4120,5900000,51,2020,1,30,4,722991,0.1225408474576271,0,0,0,0,1
31,415,9081,12600000,129,2020,10,14,3,560196,0.04446,0,0,1,0,0
37,478,4353,12600000,129,2020,10,12,1,603631,0.0479072222222222,0,1,0,0,0
7,407,5076,12600000,129,2020,10,10,6,684483,0.0543240476190476,0,0,1,0,0
13,225,2716,12600000,129,2020,10,10,6,429941,0.0341223015873015,0,1,0,0,0
9,443,5121,12600000,129,2020,10,7,3,494264,0.0392273015873015,0,0,1,0,0
15,2532,30500,12600000,129,2020,10,7,3,1133032,0.0899231746031746,0,1,0,0,0
14,993,8513,12600000,129,2020,9,17,4,641106,0.0508814285714285,0,0,1,0,0
17,885,6830,12600000,129,2020,9,9,3,730215,0.0579535714285714,0,0,1,0,0
15,1211,69600,12600000,129,2020,8,23,7,1470811,0.1167310317460317,0,0,1,0,0
12,2932,1100000,12600000,129,2020,8,22,6,2602932,0.2065819047619047,0,0,1,0,0
13,613,12000,12600000,129,2020,8,15,6,437013,0.0346835714285714,0,0,1,0,0
8,1084,7408,12600000,129,2020,8,15,6,944492,0.0749596825396825,0,1,0,0,0
6,12600,17100,12600000,129,2020,8,14,5,1729700,0.1372777777777777,0,0,1,0,0
46,1851,80100,12600000,129,2020,8,14,5,1281951,0.1017421428571428,0,1,0,0,0
7,631,6846,12600000,129,2020,8,13,4,482377,0.0382838888888888,0,0,1,0,0
20,58900,8838,12600000,129,2020,8,8,6,645638,0.0512411111111111,0,0,1,0,0
12,1829,9695,12600000,129,2020,8,2,7,899524,0.0713907936507936,0,1,0,0,0
9,1583,7781,12600000,129,2020,8,1,6,873364,0.0693146031746031,0,0,1,0,0
18,1402,9295,12600000,129,2020,7,29,3,1210697,0.0960870634920634,0,0,1,0,0
18,1358,13600,12600000,129,2020,7,26,7,1314958,0.104361746031746,0,0,1,0,0
10,3788,11600,12600000,129,2020,7,21,2,2215388,0.1758244444444444,0,1,0,0,0
15,579,5115,12600000,129,2020,7,19,7,494894,0.0392773015873015,0,1,0,0,0
11,1732,14900,12600000,129,2020,7,17,5,764032,0.0606374603174603,0,0,1,0,0
18,7442,34600,12600000,129,2020,7,16,4,2342042,0.1858763492063492,0,1,0,0,0
15,1165,9391,12600000,129,2020,7,14,2,977656,0.077591746031746,0,0,1,0,0
56,11,46,2000000,455,2020,11,7,6,1537,0.0007685,2,1,0,0,0
14,17,18,2000000,455,2020,11,7,6,2429,0.0012145,2,1,0,0,0
41,5,13,2000000,455,2020,11,7,6,1524,0.000762,2,1,0,0,0
59,9,42,2000000,455,2020,11,6,5,1241,0.0006205,2,0,1,0,0
59,2,25,2000000,455,2020,11,6,5,3138,0.001569,2,0,1,0,0
33,282,278,2000000,455,2020,11,6,5,23060,0.01153,2,1,0,0,0
56,2,20,2000000,455,2020,11,6,5,1364,0.000682,2,0,0,1,0
53,65,190,2000000,455,2020,11,5,4,10087,0.0050435,2,0,1,0,0
58,1,20,2000000,455,2020,11,5,4,1343,0.0006715,2,0,1,0,0
59,0,20,2000000,455,2020,11,5,4,1063,0.0005315,2,0,1,0,0
59,11,131,2000000,455,2020,11,5,4,4791,0.0023955,2,1,0,0,0
3,21,51,2000000,455,2020,11,5,4,9915,0.0049575,2,1,0,0,0
12,26,86,2000000,455,2020,11,4,3,7013,0.0035065,2,0,1,0,0
15,12,46,2000000,455,2020,11,4,3,3130,0.001565,2,0,1,0,0
59,10,33,2000000,455,2020,11,4,3,1583,0.0007915,2,1,0,0,0
45,41,222,2000000,455,2020,11,4,3,9210,0.004605,2,0,0,0,1
59,87,220,2000000,455,2020,11,4,3,6617,0.0033085,2,0,0,1,0
59,19,31,2000000,455,2020,11,3,2,2847,0.0014235,2,0,1,0,0
59,1,11,2000000,455,2020,11,3,2,1003,0.0005015,2,0,1,0,0
59,1,36,2000000,455,2020,11,3,2,1520,0.00076,2,0,1,0,0
57,40,143,2000000,455,2020,11,3,2,10583,0.0052915,3,1,0,0,0
59,158,383,2000000,455,2020,11,2,1,31141,0.0155705,2,0,1,0,0
59,11,37,2000000,455,2020,11,2,1,1846,0.000923,2,1,0,0,0
59,23,62,2000000,455,2020,11,2,1,2543,0.0012715,2,1,0,0,0
59,14,56,2000000,455,2020,11,2,1,2424,0.001212,2,1,0,0,0
14,59100,64700,20100000,49,2020,10,30,5,9323800,0.4638706467661692,0,0,0,1,0
5,8728,17300,20100000,49,2020,10,27,2,3826028,0.1903496517412935,0,0,1,0,0
13,11200,12900,20100000,49,2020,10,12,1,2824100,0.140502487562189,0,0,1,0,0
14,105200,108900,20100000,49,2020,10,11,7,14514100,0.722094527363184,0,0,0,0,1
9,20000,26700,20100000,49,2020,10,11,7,7146700,0.3555572139303483,0,0,0,1,0
15,51300,46000,20100000,49,2020,10,1,4,5997300,0.2983731343283582,0,0,1,0,0
15,1663,5849,20100000,49,2020,9,7,1,1207512,0.060075223880597,0,0,1,0,0
59,170600,113700,20100000,49,2020,5,17,7,13384300,0.6658855721393034,0,0,0,1,0
9,94600,37100,20100000,49,2020,4,30,4,6631700,0.3299353233830845,0,0,0,0,1
39,157900,48700,20100000,49,2020,4,28,2,12506600,0.6222189054726368,0,1,0,0,0
13,24800,14400,20100000,49,2020,4,28,2,6039200,0.300457711442786,0,0,0,1,0
10,57400,26400,20100000,49,2020,4,28,2,4383800,0.2180995024875621,0,0,0,1,0
15,66500,26200,20100000,49,2020,4,7,2,6292700,0.3130696517412935,0,0,0,1,0
15,91700,20000,20100000,49,2020,4,7,2,7311700,0.3637661691542289,0,0,0,1,0
5,17400,14400,20100000,49,2020,3,10,2,2731800,0.135910447761194,0,0,1,0,0
30,6067,1679,20100000,49,2020,3,1,7,1107746,0.0551117412935323,0,0,0,1,0
7,2777,3763,20100000,49,2020,2,27,4,1306540,0.0650019900497512,0,1,0,0,0
27,13900,5851,20100000,49,2020,2,12,3,3019751,0.150236368159204,0,0,0,1,0
8,37700,11000,20100000,49,2020,2,11,2,3848700,0.1914776119402985,0,0,0,1,0
36,23800,10300,20100000,49,2020,2,10,1,2034100,0.1011990049751243,0,1,0,0,0
32,1150,2320,20100000,49,2020,2,8,6,880870,0.0438243781094527,1,1,0,0,0
22,95200,15200,20100000,49,2020,2,5,3,6710400,0.3338507462686567,0,0,0,1,0
7,1240,967,20100000,49,2020,2,4,2,704107,0.0350301990049751,1,1,0,0,0
15,3646,3314,20100000,49,2020,2,4,2,1006960,0.0500975124378109,1,1,0,0,0
59,53600,22500,20100000,49,2020,2,2,7,3376100,0.1679651741293532,1,1,0,0,0
39,3975,3114,7800000,105,2020,7,14,2,1407089,0.1803960256410256,5,1,0,0,0
39,7271,1406,7800000,105,2020,7,13,1,906777,0.1162534615384615,6,0,1,0,0
44,3020,737,7800000,105,2020,7,10,5,417057,0.0534688461538461,7,0,1,0,0
20,9198,3304,7800000,105,2020,7,9,4,1612502,0.2067310256410256,6,1,0,0,0
59,8742,2107,7800000,105,2020,7,8,3,1810849,0.2321601282051282,6,1,0,0,0
31,809,382,7800000,105,2020,7,7,2,593991,0.0761526923076923,6,1,0,0,0
45,4946,1327,7800000,105,2020,7,3,5,1306273,0.1674708974358974,5,1,0,0,0
58,3245,766,7800000,105,2020,7,2,4,694711,0.0890655128205128,6,1,0,0,0
41,4492,809,7800000,105,2020,7,1,3,544301,0.0697821794871794,5,0,1,0,0
15,40900,5911,7800000,105,2020,6,29,1,1646811,0.2111296153846154,6,0,1,0,0
26,5135,756,7800000,105,2020,6,26,5,835791,0.1071526923076923,7,1,0,0,0
40,8653,1604,7800000,105,2020,5,27,3,1510257,0.1936226923076923,6,1,0,0,0
20,4549,1963,7800000,105,2020,5,26,2,1806512,0.2316041025641025,6,1,0,0,0
9,2439,389,7800000,105,2020,5,22,5,937928,0.1202471794871794,6,1,0,0,0
18,22900,2856,7800000,105,2020,5,21,4,2325756,0.2981738461538462,6,1,0,0,0
30,1393,628,7800000,105,2020,5,20,3,695521,0.0891693589743589,6,1,0,0,0
23,4187,851,7800000,105,2020,5,19,2,793338,0.10171,6,1,0,0,0
25,2024,526,7800000,105,2020,5,18,1,650850,0.0834423076923076,6,0,1,0,0
41,25000,2071,7800000,105,2020,5,15,5,1227071,0.1573167948717948,5,0,1,0,0
14,4309,1259,7800000,105,2020,5,15,5,822668,0.1054702564102564,6,0,0,1,0
26,9438,710,7800000,105,2020,5,14,4,735248,0.0942625641025641,6,1,0,0,0
51,40000,6022,7800000,105,2020,5,13,3,2346022,0.3007720512820512,5,1,0,0,0
46,3011,551,7800000,105,2020,5,11,1,689062,0.088341282051282,6,1,0,0,0
41,4235,855,7800000,105,2020,5,8,5,926390,0.1187679487179487,7,1,0,0,0
59,39100,4768,7800000,105,2020,5,7,4,3243868,0.4158805128205128,6,1,0,0,0
7,20,234,10600000,420,2020,11,7,6,24754,0.0023352830188679,2,0,1,0,0
24,67,420,10600000,420,2020,11,7,6,20487,0.0019327358490566,2,0,1,0,0
20,5,106,10600000,420,2020,11,7,6,1940,0.0001830188679245,3,0,0,0,1
36,312,1404,10600000,420,2020,11,6,5,25916,0.0024449056603773,3,1,0,0,0
17,1257,2957,10600000,420,2020,11,3,2,403314,0.0380484905660377,2,0,0,1,0
25,485,621,10600000,420,2020,11,2,1,96206,0.009076037735849,2,0,1,0,0
10,629,1226,10600000,420,2020,11,2,1,100155,0.0094485849056603,2,0,0,0,1
13,55,936,10600000,420,2020,11,1,7,51091,0.0048199056603773,3,0,0,0,1
41,100,1486,10600000,420,2020,10,31,6,28086,0.0026496226415094,3,0,1,0,0
42,372,1292,10600000,420,2020,10,31,6,77264,0.0072890566037735,4,1,0,0,0
30,1907,6375,10600000,420,2020,10,30,5,140582,0.0132624528301886,3,0,1,0,0
20,33,390,10600000,420,2020,10,30,5,72123,0.0068040566037735,3,0,1,0,0
8,830,1375,10600000,420,2020,10,30,5,335805,0.031679716981132,2,1,0,0,0
20,22,192,10600000,420,2020,10,30,5,39814,0.003756037735849,3,0,0,0,1
29,1272,6142,10600000,420,2020,10,30,5,208314,0.0196522641509433,3,0,0,1,0
24,185,342,10600000,420,2020,10,29,4,64127,0.006049716981132,3,0,1,0,0
30,1897,5665,10600000,420,2020,10,29,4,297062,0.028024716981132,4,0,1,0,0
20,3079,717,10600000,420,2020,10,29,4,261996,0.0247166037735849,3,0,0,0,1
8,730,431,10600000,420,2020,10,29,4,65461,0.0061755660377358,2,0,0,0,1
20,718,2133,10600000,420,2020,10,28,3,94051,0.0088727358490566,3,1,0,0,0
41,4327,748,10600000,420,2020,10,28,3,167275,0.0157806603773584,3,1,0,0,0
35,105,636,10600000,420,2020,10,28,3,67841,0.0064000943396226,2,0,0,0,1
34,54,258,10600000,420,2020,10,28,3,43012,0.0040577358490566,2,0,0,1,0
34,34,269,10600000,420,2020,10,27,2,14803,0.0013965094339622,2,1,0,0,0
44,1143,732,10600000,420,2020,10,27,2,172875,0.0163089622641509,3,1,0,0,0
15,5797,3632,1700000,32,2020,10,16,5,637729,0.3751347058823529,1,0,1,0,0
48,951,1628,1700000,32,2020,10,7,3,53979,0.0317523529411764,1,1,0,0,0
37,144,248,1700000,32,2020,9,18,5,31792,0.0187011764705882,4,0,1,0,0
59,904,610,1700000,32,2020,9,11,5,292814,0.1722435294117647,3,0,1,0,0
59,643,346,1700000,32,2020,9,10,4,20289,0.0119347058823529,3,1,0,0,0
11,46,187,1700000,32,2020,9,9,3,13133,0.007725294117647,1,1,0,0,0
55,40600,6519,1700000,32,2020,9,4,5,1147119,0.6747758823529412,3,0,1,0,0
59,9014,2269,1700000,32,2020,6,10,3,173083,0.1018135294117647,4,0,1,0,0
59,2313,1109,1700000,32,2020,5,19,2,59522,0.0350129411764705,2,0,1,0,0
37,23600,2647,1700000,32,2020,5,8,5,421247,0.2477923529411764,2,0,1,0,0
59,1695,748,1700000,32,2020,5,1,5,46443,0.0273194117647058,3,1,0,0,0
40,198,669,1700000,32,2020,4,27,1,35367,0.0208041176470588,3,0,1,0,0
59,6794,1644,1700000,32,2020,4,24,5,141138,0.0830223529411764,3,0,1,0,0
59,1745,915,1700000,32,2020,4,22,3,47460,0.0279176470588235,6,0,1,0,0
59,283,297,1700000,32,2020,4,18,6,18080,0.010635294117647,5,0,1,0,0
8,263,260,1700000,32,2020,4,17,5,29523,0.0173664705882352,4,0,1,0,0
59,4170,1065,1700000,32,2020,4,9,4,100535,0.0591382352941176,5,0,1,0,0
59,561,839,1700000,32,2020,4,8,3,60800,0.0357647058823529,0,0,1,0,0
59,1157,654,1700000,32,2020,4,3,5,41411,0.0243594117647058,0,0,1,0,0
59,271,426,1700000,32,2020,3,26,4,20897,0.0122923529411764,0,0,1,0,0
46,221,369,1700000,32,2020,3,13,5,37690,0.0221705882352941,1,1,0,0,0
59,3170,860,1700000,32,2020,3,10,2,181730,0.1069,4,0,1,0,0
49,4283,1950,1700000,32,2020,3,8,7,179133,0.1053723529411764,3,1,0,0,0
25,2073,2006,1700000,32,2020,3,6,5,161479,0.0949876470588235,3,0,1,0,0
59,15000,1728,1700000,32,2020,3,5,4,275628,0.1621341176470588,4,0,1,0,0
11,23,633,4700000,84,2020,11,6,5,10432,0.0022195744680851,3,0,1,0,0
11,146,846,4700000,84,2020,10,26,1,59092,0.0125727659574468,3,0,0,1,0
12,609,1516,4700000,84,2020,10,20,2,123225,0.0262180851063829,1,0,0,1,0
8,5336,6698,4700000,84,2020,10,15,4,451834,0.0961348936170212,3,0,1,0,0
7,559,1859,4700000,84,2020,10,1,4,123018,0.0261740425531914,3,0,0,1,0
15,929,4197,4700000,84,2020,9,15,2,128526,0.0273459574468085,3,0,1,0,0
11,270,1671,4700000,84,2020,9,12,6,207041,0.0440512765957446,3,0,1,0,0
20,3043,6518,4700000,84,2020,9,11,5,586261,0.1247363829787234,3,0,1,0,0
7,2262,14000,4700000,84,2020,9,10,4,784362,0.1668855319148936,3,0,0,1,0
37,140,948,4700000,84,2020,9,1,2,136688,0.0290825531914893,3,0,0,1,0
8,3971,3971,4700000,84,2020,8,29,6,338842,0.0720940425531914,3,0,1,0,0
37,3128,3721,4700000,84,2020,8,28,5,539349,0.1147551063829787,3,0,0,1,0
15,1907,7495,4700000,84,2020,8,27,4,169902,0.0361493617021276,4,0,0,1,0
11,856,5350,4700000,84,2020,7,25,6,553206,0.1177034042553191,3,0,0,1,0
16,2112,7519,4700000,84,2020,7,15,3,530731,0.1129214893617021,2,0,1,0,0
8,627,3178,4700000,84,2020,6,13,6,232105,0.0493840425531914,3,0,1,0,0
13,950,2922,4700000,84,2020,5,23,6,278772,0.0593131914893617,3,1,0,0,0
14,7731,38800,4700000,84,2020,5,15,5,1146531,0.2439427659574468,3,0,1,0,0
12,33000,19500,4700000,84,2020,4,23,4,2552500,0.5430851063829787,3,0,1,0,0
12,3074,3767,4700000,84,2020,4,22,3,351541,0.0747959574468085,3,1,0,0,0
9,968,3345,4700000,84,2020,4,15,3,468013,0.0995772340425532,3,0,0,0,1
15,15500,9839,4700000,84,2020,4,10,5,1325339,0.2819870212765957,3,0,1,0,0
9,1096,2249,4700000,84,2020,4,5,7,286545,0.0609670212765957,3,1,0,0,0
16,661,680,4700000,84,2020,3,29,7,334541,0.0711789361702127,3,0,1,0,0
15,897,1685,4700000,84,2020,3,29,7,322682,0.068655744680851,3,0,1,0,0
20,318,77,1700000,203,2020,11,2,1,26195,0.0154088235294117,3,0,1,0,0
2,42,46,1700000,203,2020,10,29,4,26288,0.0154635294117647,4,0,1,0,0
3,561,232,1700000,203,2020,10,27,2,43793,0.0257605882352941,3,0,1,0,0
11,351,1267,1700000,203,2020,10,26,1,270818,0.1593047058823529,2,1,0,0,0
20,724,504,1700000,203,2020,10,21,3,103128,0.0606635294117647,1,1,0,0,0
8,145,37,1700000,203,2020,10,19,1,23482,0.0138129411764705,2,0,1,0,0
10,77,41,1700000,203,2020,10,16,5,23418,0.013775294117647,3,0,1,0,0
10,79,75,1700000,203,2020,10,15,4,19554,0.0115023529411764,3,1,0,0,0
7,53,41,1700000,203,2020,10,13,2,22794,0.0134082352941176,3,1,0,0,0
9,450,115,1700000,203,2020,10,12,1,33765,0.0198617647058823,2,0,1,0,0
13,109,80,1700000,203,2020,10,9,5,20589,0.0121111764705882,4,1,0,0,0
21,19,25,1700000,203,2020,10,8,4,7580,0.0044588235294117,2,0,1,0,0
9,49,39,1700000,203,2020,10,8,4,11688,0.006875294117647,3,1,0,0,0
33,76,73,1700000,203,2020,10,6,2,5182,0.0030482352941176,3,0,1,0,0
14,166,53,1700000,203,2020,10,1,4,16819,0.0098935294117647,3,0,1,0,0
11,51,28,1700000,203,2020,9,30,3,32179,0.0189288235294117,1,1,0,0,0
5,295,96,1700000,203,2020,9,29,2,28591,0.0168182352941176,2,0,1,0,0
8,577,466,1700000,203,2020,9,28,1,33743,0.0198488235294117,3,0,1,0,0
7,1873,238,1700000,203,2020,9,25,5,53211,0.0313005882352941,4,1,0,0,0
12,273,197,1700000,203,2020,9,24,4,36870,0.0216882352941176,3,0,1,0,0
12,45,71,1700000,203,2020,9,23,3,26516,0.0155976470588235,2,1,0,0,0
6,1464,137,1700000,203,2020,9,22,2,39101,0.0230005882352941,3,1,0,0,0
10,1418,213,1700000,203,2020,9,18,5,49631,0.0291947058823529,2,1,0,0,0
8,44,40,1700000,203,2020,9,17,4,8529,0.0050170588235294,3,1,0,0,0
14,133,40,1700000,203,2020,9,15,2,11173,0.0065723529411764,2,1,0,0,0
26,8159,6840,3600000,16,2020,10,27,2,317699,0.0882497222222222,4,0,1,0,0
8,14200,17500,3600000,16,2020,10,15,4,1431700,0.3976944444444444,1,0,0,1,0
8,59100,72300,3600000,16,2020,10,13,2,4031400,1.1198333333333332,0,0,0,1,0
15,63800,49700,3600000,16,2020,10,3,6,1613500,0.4481944444444444,0,0,0,0,1
5,293000,140100,3600000,16,2020,9,21,1,3833100,1.06475,0,0,0,1,0
7,22400,14500,3600000,16,2020,9,17,4,863500,0.2398611111111111,0,0,0,1,0
19,18600,23000,3600000,16,2020,8,21,5,806900,0.2241388888888889,0,0,0,1,0
15,2608,3875,3600000,16,2020,6,6,6,348383,0.0967730555555555,1,0,1,0,0
15,4126,10200,3600000,16,2020,5,16,6,790326,0.219535,0,0,1,0,0
5,2387,3891,3600000,16,2020,5,16,6,222178,0.0617161111111111,0,0,0,1,0
19,15100,8657,3600000,16,2020,4,11,6,1023757,0.2843769444444444,0,0,0,1,0
22,5642,5298,3600000,16,2020,4,4,6,285540,0.0793166666666666,4,0,1,0,0
14,1570,2132,3600000,16,2020,3,30,1,259502,0.0720838888888888,0,0,1,0,0
4,1061,1500,3600000,16,2020,3,30,1,184861,0.0513502777777777,0,0,1,0,0
7,2238,3276,3600000,16,2020,3,30,1,415914,0.1155316666666666,0,0,1,0,0
30,71200,13400,3600000,16,2020,3,29,7,734800,0.2041111111111111,4,0,1,0,0
15,350,3329,4500000,36,2020,10,7,3,342779,0.0761731111111111,1,0,1,0,0
14,5614,21300,4500000,36,2020,9,13,7,868614,0.1930253333333333,1,0,1,0,0
26,1084,5564,4500000,36,2020,7,20,1,423248,0.0940551111111111,0,0,1,0,0
4,2357,8810,4500000,36,2020,7,19,7,450567,0.100126,0,0,1,0,0
36,120,1032,4500000,36,2020,7,17,5,90252,0.020056,1,1,0,0,0
9,17000,17000,4500000,36,2020,7,3,5,1534000,0.3408888888888889,1,0,1,0,0
8,14100,38500,4500000,36,2020,7,3,5,1352600,0.3005777777777778,1,1,0,0,0
14,1233,2535,4500000,36,2020,6,25,4,225968,0.0502151111111111,1,0,0,1,0
15,1041,6599,4500000,36,2020,6,22,1,293240,0.0651644444444444,0,0,1,0,0
9,1460,5678,4500000,36,2020,6,9,2,713238,0.1584973333333333,2,1,0,0,0
7,3862,5349,4500000,36,2020,3,25,3,393811,0.0875135555555555,1,1,0,0,0
28,4216,8591,4500000,36,2020,3,21,6,644207,0.1431571111111111,1,0,1,0,0
20,2806,8394,4500000,36,2020,3,19,4,561900,0.1248666666666666,1,0,1,0,0
5,1755,6650,4500000,36,2020,3,12,4,355805,0.0790677777777777,1,1,0,0,0
8,2428,25700,4500000,36,2020,3,2,1,449628,0.0999173333333333,2,1,0,0,0
45,1739,7029,4500000,36,2020,2,15,6,723568,0.1607928888888889,1,1,0,0,0
15,4291,4926,4500000,36,2020,1,25,6,388717,0.0863815555555555,2,0,0,1,0
31,505,1486,4500000,36,2020,1,15,3,187491,0.0416646666666666,2,1,0,0,0
12,47400,93100,4500000,36,2019,12,29,7,2940500,0.6534444444444445,2,1,0,0,0
4,1506,1982,4500000,36,2019,11,23,6,348988,0.0775528888888889,2,0,1,0,0
9,7019,2910,4500000,36,2019,11,21,4,983829,0.2186286666666666,2,0,1,0,0
10,1103,2283,4500000,36,2019,11,12,2,341386,0.0758635555555555,2,0,1,0,0
6,954,1423,4500000,36,2019,10,26,6,326077,0.0724615555555555,2,0,1,0,0
55,845,2141,4500000,36,2019,10,25,5,276786,0.061508,3,0,1,0,0
